raw_tag,canonical_id,brick_class,equipment_type,equipment_id,point_role,subsystem,zone_id,unit,param_key,description
HOSPITAL_MAIN_EAST_TEMP_SP,HOSPITAL_MAIN_EAST_TEMP_SP,Zone_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_4,deg_C,none,Standard Zone_Air_Temperature_Setpoint point for Building_Main in zone_4
DATACENTER.WEST.AHU3.FLTR.DP,DATACENTER.WEST.AHU3.FLTR.DP,Filter_Differential_Pressure_Sensor,Air_Handling_Unit,Building_Main,sensor,hvac,unassigned,kPa,none,Standard Filter_Differential_Pressure_Sensor point for Building_Main in unassigned
Tower/North/Solar/Irrad,Tower/North/Solar/Irrad,Solar_Radiance_Sensor,Building,Building_Main,sensor,environment,unassigned,W/m2,none,Standard Solar_Radiance_Sensor point for Building_Main in unassigned
TOWER NORTH CHLR2 CHW SUP T,TOWER NORTH CHLR2 CHW SUP T,Chilled_Water_Supply_Temperature_Sensor,Chiller,Chiller_2,sensor,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Sensor point for Chiller_2 in unassigned
hospital/main/perim/n/cz/param,hospital/main/perim/n/cz/param,Thermal_Capacitance_Air_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_2,kJ/K,C_z,Standard Thermal_Capacitance_Air_Parameter point for Building_Main in zone_2
DATACENTER/WEST/FLOOR1/Z3/ROOM/TEMP,DATACENTER/WEST/FLOOR1/Z3/ROOM/TEMP,Zone_Air_Temperature_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,hvac,zone_3,deg_C,none,Standard Zone_Air_Temperature_Sensor point for Building_Main in zone_3
Tower/North/Ahu2/Sat,Tower/North/Ahu2/Sat,Supply_Air_Temperature_Sensor,Air_Handling_Unit,Building_Main,sensor,hvac,unassigned,deg_C,none,Standard Supply_Air_Temperature_Sensor point for Building_Main in unassigned
datacenter_west_ahu3_sat,datacenter_west_ahu3_sat,Supply_Air_Temperature_Sensor,Air_Handling_Unit,Building_Main,sensor,hvac,unassigned,deg_C,none,Standard Supply_Air_Temperature_Sensor point for Building_Main in unassigned
HQ-SOLAR-GHI-SENS,HQ-SOLAR-GHI-SENS,Solar_Radiance_Sensor,Building,Building_Main,sensor,environment,unassigned,W/m2,none,Standard Solar_Radiance_Sensor point for Building_Main in unassigned
CAMPUS/ENG/CHLR2/CHW/RET/T,CAMPUS/ENG/CHLR2/CHW/RET/T,Chilled_Water_Return_Temperature_Sensor,Chiller,Chiller_2,sensor,hvac,unassigned,deg_C,none,Standard Chilled_Water_Return_Temperature_Sensor point for Chiller_2 in unassigned
hospital main oat,hospital main oat,Outside_Air_Temperature_Sensor,Building,Building_Main,sensor,environment,unassigned,deg_C,none,Standard Outside_Air_Temperature_Sensor point for Building_Main in unassigned
CAMPUS ENG Z04 RH SENS,CAMPUS ENG Z04 RH SENS,Relative_Humidity_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,environment,zone_4,%,none,Standard Relative_Humidity_Sensor point for Building_Main in zone_4
HospitalMainSolarGhiSens,HospitalMainSolarGhiSens,Solar_Radiance_Sensor,Building,Building_Main,sensor,environment,unassigned,W/m2,none,Standard Solar_Radiance_Sensor point for Building_Main in unassigned
TOWER-NORTH-CHLR1-CHW-SUP-T,TOWER-NORTH-CHLR1-CHW-SUP-T,Chilled_Water_Supply_Temperature_Sensor,Chiller,Chiller_1,sensor,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Sensor point for Chiller_1 in unassigned
CampusEngAhu3FanPwrKw,CampusEngAhu3FanPwrKw,Electric_Power_Sensor,Air_Handling_Unit,Building_Main,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Building_Main in unassigned
campus/eng/chlr2/chw/ret/t,campus/eng/chlr2/chw/ret/t,Chilled_Water_Return_Temperature_Sensor,Chiller,Chiller_2,sensor,hvac,unassigned,deg_C,none,Standard Chilled_Water_Return_Temperature_Sensor point for Chiller_2 in unassigned
bldg1-chlr1-chw-stpt,bldg1-chlr1-chw-stpt,Chilled_Water_Supply_Temperature_Setpoint,Chiller,Chiller_1,setpoint,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Setpoint point for Chiller_1 in unassigned
hospital main zn1 solar frac,hospital main zn1 solar frac,Solar_Factor_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_1,ratio,solar_factor,Standard Solar_Factor_Parameter point for Building_Main in zone_1
FacilityAPerimSRextParam,FacilityAPerimSRextParam,Envelope_Thermal_Resistance_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_3,K/kW,R_ext,Standard Envelope_Thermal_Resistance_Parameter point for Building_Main in zone_3
CAMPUS-ENG-ZONE-3-SOLAR-FRAC,CAMPUS-ENG-ZONE-3-SOLAR-FRAC,Solar_Factor_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_3,ratio,solar_factor,Standard Solar_Factor_Parameter point for Building_Main in zone_3
bldg1/vav/z01/dat/sp,bldg1/vav/z01/dat/sp,Discharge_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_1,deg_C,none,Standard Discharge_Air_Temperature_Setpoint point for Building_Main in zone_1
HQ.BLDG.TOTAL.PWR.KW,HQ.BLDG.TOTAL.PWR.KW,Electric_Power_Sensor,Building,Building_Main,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Building_Main in unassigned
