point_name,value,unit,description
BLDG_PWR_TOT_KW,150.0,kW,Total building active electrical power
OAT_WEATHER_TEMP,28.5,deg_C,Outdoor ambient air temperature
SOL_IRRAD_WM2,650.0,W/m2,Global horizontal solar irradiance
CHLR_CHW_STPT,6.5,deg_C,Central chiller supply water temperature setpoint
CHLR_PWR_KW,42.5,kW,Chiller electrical power draw
CHLR_CHW_SUP_TEMP,6.8,deg_C,Chilled water supply temperature
CHLR_CHW_RET_TEMP,12.2,deg_C,Chilled water return temperature
AHU1_FAN_PWR_KW,6.8,kW,AHU supply fan electrical power
AHU1_SUP_AIR_TEMP,14.5,deg_C,AHU supply air temperature sensor
AHU1_SUP_AIR_TEMP_SP,14.0,deg_C,AHU supply air temperature setpoint
AHU1_AIR_FLOW_M3S,6.2,m3/s,AHU total supply air volume flow rate
Z01_CORE_AIR_TEMP,22.1,deg_C,Zone 1 Core room air temperature
Z01_CORE_TEMP_SP,22.0,deg_C,Zone 1 Core temperature setpoint
AHU1_Z01_VAV_DAT_SP,22.0,deg_C,Zone 1 VAV discharge air temperature setpoint
AHU1_Z01_VAV_DMPR_POS,0.70,ratio,Zone 1 VAV damper position command
Z01_CORE_OCC_COUNT,18,count,Zone 1 Core occupant count
Z01_CORE_CZ_PARAM,15000.0,kJ/K,Zone 1 air thermal capacitance Cz
Z01_CORE_CM_PARAM,85000.0,kJ/K,Zone 1 structural mass capacitance Cm
Z01_CORE_REXT_PARAM,2.5,K/kW,Zone 1 envelope thermal resistance Rext
Z01_CORE_RM_PARAM,0.5,K/kW,Zone 1 air-to-mass thermal resistance Rm
Z01_CORE_AREA_SQM,250.0,m2,Zone 1 Core floor area
Z01_CORE_SOLAR_FRAC,0.05,ratio,Zone 1 direct solar gain penetration factor
Z02_NORTH_AIR_TEMP,21.8,deg_C,Zone 2 Perimeter North room air temperature
Z02_NORTH_TEMP_SP,22.0,deg_C,Zone 2 Perimeter North temperature setpoint
AHU1_Z02_VAV_DAT_SP,22.0,deg_C,Zone 2 VAV discharge air temperature setpoint
AHU1_Z02_VAV_DMPR_POS,0.50,ratio,Zone 2 VAV damper position command
Z02_NORTH_OCC_COUNT,12,count,Zone 2 Perimeter North occupant count
Z02_NORTH_CZ_PARAM,12000.0,kJ/K,Zone 2 air thermal capacitance Cz
Z02_NORTH_CM_PARAM,70000.0,kJ/K,Zone 2 structural mass capacitance Cm
Z02_NORTH_REXT_PARAM,1.8,K/kW,Zone 2 envelope thermal resistance Rext
Z02_NORTH_RM_PARAM,0.6,K/kW,Zone 2 air-to-mass thermal resistance Rm
Z02_NORTH_AREA_SQM,180.0,m2,Zone 2 North floor area
Z02_NORTH_SOLAR_FRAC,0.15,ratio,Zone 2 North solar gain penetration factor
Z03_SOUTH_AIR_TEMP,22.4,deg_C,Zone 3 Perimeter South room air temperature
